price,duration,count
2427.75,22,22
2428.00,13085,568
2428.25,18691,930
2428.50,34143,664
2428.75,156930,881
2429.00,955575,2473
2429.25,2096182,3721
2429.50,4186015,7178
2429.75,6243719,10266
2430.00,4102428,8291
2430.25,4334227,7219
2430.50,3199948,4154
2430.75,1968569,3088
2431.00,1544492,3612
2431.25,1184962,2117
2431.50,1201703,3011
2431.75,711393,2684
2432.00,542825,2204
2432.25,644703,2595
2432.50,390749,1621
2432.75,1421148,2049
2433.00,891246,1933
2433.25,240834,777
2433.50,524021,1325
2433.75,918216,1733
2434.00,930672,2611
2434.25,1669248,2306
2434.50,1620466,3224
2434.75,1083287,3108
2435.00,1045629,2658
2435.25,1119028,2451
2435.50,1052954,2424
2435.75,1128181,2347
2436.00,2035155,2426
2436.25,3640392,4666
2436.50,3809372,3999
2436.75,2147671,2976
2437.00,1202709,1865
2437.25,708542,2154
2437.50,536236,2535
2437.75,588896,2891
2438.00,815157,3188
2438.25,458581,1630
2438.50,178119,553
2438.75,2149527,1409
2439.00,4042526,3662
2439.25,3929819,3919
2439.50,3010299,2611
2439.75,3104806,2834
2440.00,5134392,3811
2440.25,4855201,3454
2440.50,4421298,3134
2440.75,23265553,3877
2441.00,16987945,3390
2441.25,17260303,5254
2441.50,21099842,6644
2441.75,15927961,5747
2442.00,15703152,6565
2442.25,15088186,5298
2442.50,13014331,5978
2442.75,14908234,6261
2443.00,13424214,7362
2443.25,13468119,6458
2443.50,8731717,4516
2443.75,6769109,3362
2444.00,6756449,3943
2444.25,5423563,2414
2444.50,4066244,1911
2444.75,3210847,2195
2445.00,2390526,1913
2445.25,1466518,1553
2445.50,1829193,1641
2445.75,904672,1030
2446.00,577105,1013
2446.25,591089,969
2446.50,571449,1482
2446.75,2535033,1934
2447.00,3547894,3462
2447.25,3722033,3843
2447.50,5264311,5021
2447.75,4798546,5383
2448.00,2751011,4096
2448.25,1391503,3028
2448.50,1107638,3143
2448.75,191526,1568
2449.00,132787,942
2449.25,8148,492
2449.50,19146,516
2449.75,4161396,1023
2450.00,9266827,2414
2450.25,7113650,2202
2450.50,11543990,4210
2450.75,11856734,4605
2451.00,16636201,5402
2451.25,23796851,9326
2451.50,22294950,8847
2451.75,15359722,8151
2452.00,20225019,8793
2452.25,24050752,9302
2452.50,23861560,7164
2452.75,11475212,5690
2453.00,13616901,5960
2453.25,13284840,4723
2453.50,13428628,5652
2453.75,8818962,4129
2454.00,9033921,5520
2454.25,9943227,5364
2454.50,8340001,4301
2454.75,7949631,5632
2455.00,8357084,5421
2455.25,9582040,5218
2455.50,11222310,5712
2455.75,8843487,6044
2456.00,7176490,4331
2456.25,13345728,4034
2456.50,15453932,5170
2456.75,10738558,4303
2457.00,14857428,5400
2457.25,6945614,4364
2457.50,16622252,6324
2457.75,9424254,4995
2458.00,1026650,3627
2458.25,662275,2971
2458.50,874654,3992
2458.75,797889,3693
2459.00,5089169,2607
2459.25,5341934,3329
2459.50,1905494,1653
2459.75,2888309,2051
2460.00,1941678,1546
2460.25,3710440,3011
2460.50,6246431,4007
2460.75,6038550,4345
2461.00,4117070,3167
2461.25,1887117,2763
2461.50,786247,2558
2461.75,769663,2772
2462.00,820524,2378
2462.25,796220,1627
2462.50,505365,701
2462.75,611363,1791
2463.00,1082504,2594
2463.25,512891,1421
2463.50,587915,2567
2463.75,277311,2390
2464.00,5847,85
